model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,mtbench,static_7_4_8,0,0.05,0,,,,target_top1_prob
llama,mtbench,static_7_4_8,1,0.15000000000000002,0,,,,target_top1_prob
llama,mtbench,static_7_4_8,2,0.25,0,,,,target_top1_prob
llama,mtbench,static_7_4_8,3,0.35000000000000003,5,0.37142857142857144,0.25942857142857145,0.48342857142857143,target_top1_prob
llama,mtbench,static_7_4_8,4,0.45,36,0.369047619047619,0.30364289614645706,0.43445234194878096,target_top1_prob
llama,mtbench,static_7_4_8,5,0.55,144,0.4107142857142857,0.3711206329065775,0.4503079385219939,target_top1_prob
llama,mtbench,static_7_4_8,6,0.6500000000000001,495,0.434054834054834,0.41307935666827006,0.455030311441398,target_top1_prob
llama,mtbench,static_7_4_8,7,0.75,1008,0.48001700680272114,0.4643738431903582,0.4956601704150841,target_top1_prob
llama,mtbench,static_7_4_8,8,0.8500000000000001,1106,0.5613536553862052,0.544313225455877,0.5783940853165334,target_top1_prob
llama,mtbench,static_7_4_8,9,0.95,745,0.6594439117929051,0.6348617792401124,0.6840260443456977,target_top1_prob
qwen,livecodebench,static_7_4_8,0,0.05,0,,,,target_top1_prob
qwen,livecodebench,static_7_4_8,1,0.15000000000000002,0,,,,target_top1_prob
qwen,livecodebench,static_7_4_8,2,0.25,0,,,,target_top1_prob
qwen,livecodebench,static_7_4_8,3,0.35000000000000003,3,0.28571428571428564,0.005714285714285672,0.5657142857142856,target_top1_prob
qwen,livecodebench,static_7_4_8,4,0.45,29,0.2660098522167487,0.22050306135792494,0.3115166430755725,target_top1_prob
qwen,livecodebench,static_7_4_8,5,0.55,414,0.30331262939958586,0.2903807671045623,0.31624449169460944,target_top1_prob
qwen,livecodebench,static_7_4_8,6,0.6500000000000001,1747,0.3103279090686073,0.30335232268424395,0.31730349545297065,target_top1_prob
qwen,livecodebench,static_7_4_8,7,0.75,4237,0.3226676556863009,0.31791889162117387,0.32741641975142793,target_top1_prob
qwen,livecodebench,static_7_4_8,8,0.8500000000000001,5921,0.33893888580596904,0.33460745286240545,0.3432703187495326,target_top1_prob
qwen,livecodebench,static_7_4_8,9,0.95,4665,0.3768794977798193,0.3711957718900074,0.38256322366963114,target_top1_prob
qwen,math500,static_7_4_8,0,0.05,0,,,,target_top1_prob
qwen,math500,static_7_4_8,1,0.15000000000000002,0,,,,target_top1_prob
qwen,math500,static_7_4_8,2,0.25,0,,,,target_top1_prob
qwen,math500,static_7_4_8,3,0.35000000000000003,0,,,,target_top1_prob
qwen,math500,static_7_4_8,4,0.45,28,0.260204081632653,0.210204081632653,0.310204081632653,target_top1_prob
qwen,math500,static_7_4_8,5,0.55,265,0.26684636118598376,0.2508485836344773,0.2828441387374902,target_top1_prob
qwen,math500,static_7_4_8,6,0.6500000000000001,1230,0.2887340301974448,0.2802329269170497,0.2972351334778399,target_top1_prob
qwen,math500,static_7_4_8,7,0.75,3291,0.30594261405564954,0.3002981432742139,0.3115870848370852,target_top1_prob
