model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,mtbench,static_7_1_8,6,0.6500000000000001,297,0.4444444444444444,0.4091436921463732,0.47974519674251564,top1_prob
llama,mtbench,static_7_1_8,7,0.75,325,0.4984615384615384,0.46200387917782854,0.5349191977452482,top1_prob
llama,mtbench,static_7_1_8,8,0.8500000000000001,340,0.5705882352941176,0.5359491379805006,0.6052273326077346,top1_prob
llama,mtbench,static_7_1_8,9,0.95,1461,0.6567908477559401,0.6397407480290285,0.6738409474828517,top1_prob
qwen,livecodebench,static_7_1_8,0,0.05,169,0.1732882502113271,0.1574947163857049,0.1890817840369493,top1_prob
qwen,livecodebench,static_7_1_8,1,0.15000000000000002,1047,0.18720152817574015,0.1802960469066473,0.194107009444833,top1_prob
qwen,livecodebench,static_7_1_8,2,0.25,1994,0.19243444619573002,0.1875288185254371,0.19734007386602295,top1_prob
qwen,livecodebench,static_7_1_8,3,0.35000000000000003,2385,0.21323749625636415,0.20793627709293486,0.21853871541979344,top1_prob
qwen,livecodebench,static_7_1_8,4,0.45,2386,0.2350017961920728,0.22913966955180357,0.240863922832342,top1_prob
qwen,livecodebench,static_7_1_8,5,0.55,2152,0.2550451407328731,0.24816752585144844,0.2619227556142978,top1_prob
qwen,livecodebench,static_7_1_8,6,0.6500000000000001,1911,0.2801076474545862,0.2725204221579977,0.2876948727511747,top1_prob
qwen,livecodebench,static_7_1_8,7,0.75,1782,0.30054513387846715,0.29211954930021533,0.308970718456719,top1_prob
qwen,livecodebench,static_7_1_8,8,0.8500000000000001,2000,0.33128571428571424,0.3233240396546165,0.339247388916812,top1_prob
qwen,livecodebench,static_7_1_8,9,0.95,4477,0.40154440154440146,0.3958340097029448,0.4072547933858581,top1_prob
qwen,math500,static_7_1_8,0,0.05,214,0.16421895861148192,0.15051322157273833,0.1779246956502255,top1_prob
qwen,math500,static_7_1_8,1,0.15000000000000002,923,0.18139606872001235,0.17434396190670443,0.18844817553332027,top1_prob
qwen,math500,static_7_1_8,2,0.25,1603,0.19543712681579178,0.1892872213221901,0.20158703230939345,top1_prob
qwen,math500,static_7_1_8,3,0.35000000000000003,1990,0.20502512562814065,0.1994111828329502,0.2106390684233311,top1_prob
qwen,math500,static_7_1_8,4,0.45,2105,0.23047166610111974,0.224189834142406,0.23675349805983348,top1_prob
qwen,math500,static_7_1_8,5,0.55,1920,0.2475446428571428,0.24025117458483497,0.25483811112945065,top1_prob
qwen,math500,static_7_1_8,6,0.6500000000000001,1712,0.26443591455273696,0.25629692789180225,0.27257490121367167,top1_prob
qwen,math500,static_7_1_8,7,0.75,1710,0.28897243107769416,0.280200668131831,0.29774419402355734,top1_prob
qwen,math500,static_7_1_8,8,0.8500000000000001,1997,0.3196222905787252,0.3111290506768983,0.32811553048055214,top1_prob
qwen,math500,static_7_1_8,9,0.95,5540,0.41268695203713246,0.40719821901064424,0.4181756850636207,top1_prob
qwen,mtbench,static_7_1_8,0,0.05,165,0.17922077922077917,0.15604990082590017,0.20239165761565817,top1_prob
qwen,mtbench,static_7_1_8,1,0.15000000000000002,576,0.19171626984126983,0.17970348680875572,0.20372905287378393,top1_prob
qwen,mtbench,static_7_1_8,2,0.25,926,0.2125887071891391,0.20206760722476255,0.22310980715351567,top1_prob
qwen,mtbench,static_7_1_8,3,0.35000000000000003,1131,0.2418845522293798,0.23077338954974158,0.252995714909018,top1_prob
qwen,mtbench,static_7_1_8,4,0.45,1142,0.28596447335501624,0.2728236420366529,0.2991053046733796,top1_prob
qwen,mtbench,static_7_1_8,5,0.55,1261,0.31392319021184995,0.3005326644050922,0.3273137160186077,top1_prob
qwen,mtbench,static_7_1_8,6,0.6500000000000001,1164,0.32989690721649484,0.31606267497391544,0.34373113945907424,top1_prob
qwen,mtbench,static_7_1_8,7,0.75,1244,0.3712677997243913,0.3567712022674003,0.3857643971813823,top1_prob
qwen,mtbench,static_7_1_8,8,0.8500000000000001,1556,0.42104296731546087,0.4077960604719945,0.4342898741589272,top1_prob
qwen,mtbench,static_7_1_8,9,0.95,9300,0.6433794162826421,0.6365568622064455,0.6502019703588386,top1_prob
llama,livecodebench,static_7_4_8,0,0.05,254,0.17210348706411696,0.16277328432268226,0.18143368980555166,top1_prob
llama,livecodebench,static_7_4_8,1,0.15000000000000002,218,0.21690694626474435,0.20010078159207323,0.23371311093741548,top1_prob
llama,livecodebench,static_7_4_8,2,0.25,145,0.23940886699507385,0.21716585122469098,0.2616518827654567,top1_prob
llama,livecodebench,static_7_4_8,3,0.35000000000000003,137,0.3086548488008342,0.27847449709468575,0.3388352005069827,top1_prob
llama,livecodebench,static_7_4_8,4,0.45,175,0.30530612244897953,0.27959715894210707,0.331015085955852,top1_prob
llama,livecodebench,static_7_4_8,5,0.55,183,0.3224043715846994,0.2947482673160663,0.35006047585333255,top1_prob
llama,livecodebench,static_7_4_8,6,0.6500000000000001,160,0.3571428571428571,0.32613464155468974,0.38815107273102445,top1_prob
