model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
qwen,livecodebench,5,0.09015727788209915,7133,static_6_10_60,166.41848913336872,3.6666666666666665,99.46908273401633,104.61404701177663,112.96572567373414,166.41848913336872,1.6363214119832792,2.06468253968254,2.24472049689441,3.6666666666666665
qwen,livecodebench,6,0.11887770891189575,7133,static_7_4_8,118.55562016143968,2.355796229442439,104.33725915437195,111.97935583293071,118.55562016143968,113.46715168184231,1.7164056059356967,2.2100456621004567,2.355796229442439,2.5
qwen,livecodebench,7,0.15758998692035675,7133,static_7_4_8,131.3216434536434,2.6094674556213016,111.9257742874635,121.24112912145367,131.3216434536434,87.74793063395805,1.8412408759124088,2.3928377645143786,2.6094674556213016,1.9333333333333333
qwen,livecodebench,8,0.21902573108673096,7133,static_7_4_8,144.34998025850038,2.8683510638297873,122.77950715746078,142.20813415124206,144.34998025850038,99.28375772161202,2.0197907831495616,2.806646525679758,2.8683510638297873,2.1875
qwen,livecodebench,9,0.3924144506454468,7133,static_7_4_8,182.89253828207686,3.634222919937206,150.06642405155102,165.86950715674703,182.89253828207686,70.14333013059343,2.4686756542426647,3.27363184079602,3.634222919937206,1.5454545454545454
qwen,math500,0,0.009454329498112202,6908,static_6_10_60,115.02732656384164,2.5022263885633933,82.48682713475993,72.93000118063772,79.70483965970352,115.02732656384164,1.3435897435897435,1.4056372549019607,1.5778301886792452,2.5022263885633933
qwen,math500,1,0.0219708364456892,6908,static_6_10_60,144.51426155205996,3.1436651583710407,86.69785966202642,80.87218128681882,83.43567031642066,144.51426155205996,1.4121813031161472,1.5587131367292226,1.651685393258427,3.1436651583710407
qwen,math500,2,0.03515880927443504,6908,static_6_10_60,168.93741675896172,3.674949899799599,87.68572911275908,84.10442121721914,91.95329186082847,168.93741675896172,1.4282722513089006,1.6210106382978724,1.8202995008319467,3.674949899799599
qwen,math500,3,0.05145169422030449,6907,static_6_10_60,189.60993784902612,4.124645892351275,92.92669425684744,90.64897850104202,98.79119634242237,189.60993784902612,1.5136399064692128,1.7471490365709792,1.9556620730976633,4.124645892351275
qwen,math500,4,0.07316513359546661,6908,static_6_10_60,211.62279023935366,4.603498542274052,94.22290991065553,99.0809694301889,104.55809224672862,211.62279023935366,1.5347533632286996,1.9096654275092937,2.069823051171688,4.603498542274052
