model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,mtbench,static_7_4_8,2,0.25,60,0.22619047619047616,0.18896110115746764,0.2634198512234847,t
llama,mtbench,static_7_4_8,3,0.35000000000000003,220,0.29285714285714287,0.27016491250423635,0.3155493732100494,t
llama,mtbench,static_7_4_8,4,0.45,324,0.3390652557319223,0.31734376451479446,0.36078674694905016,t
llama,mtbench,static_7_4_8,5,0.55,388,0.4189985272459499,0.39674750938617204,0.4412495451057277,t
llama,mtbench,static_7_4_8,6,0.6500000000000001,385,0.4849721706864564,0.45959930389639886,0.5103450374765139,t
llama,mtbench,static_7_4_8,7,0.75,404,0.5265205091937766,0.5004350973150844,0.5526059210724688,t
llama,mtbench,static_7_4_8,8,0.8500000000000001,632,0.5641952983725136,0.5426446833934045,0.5857459133516226,t
llama,mtbench,static_7_4_8,9,0.95,1126,0.6915757421974117,0.6742779629000448,0.7088735214947786,t
qwen,livecodebench,static_7_4_8,0,0.05,0,,,,t
qwen,livecodebench,static_7_4_8,1,0.15000000000000002,0,,,,t
qwen,livecodebench,static_7_4_8,2,0.25,189,0.20861678004535142,0.1941423612459757,0.22309119884472714,t
qwen,livecodebench,static_7_4_8,3,0.35000000000000003,1358,0.23932253313696608,0.23326044883433852,0.24538461743959364,t
qwen,livecodebench,static_7_4_8,4,0.45,2401,0.2681620753257571,0.2632454165886976,0.2730787340628166,t
qwen,livecodebench,static_7_4_8,5,0.55,2662,0.2999356015884941,0.2946768624569766,0.30519434072001156,t
qwen,livecodebench,static_7_4_8,6,0.6500000000000001,2459,0.3260326497414744,0.3201365335656499,0.33192876591729886,t
qwen,livecodebench,static_7_4_8,7,0.75,2122,0.3420627440420088,0.33506289567511177,0.34906259240890586,t
qwen,livecodebench,static_7_4_8,8,0.8500000000000001,2545,0.3779960707269155,0.37114338720872414,0.38484875424510684,t
qwen,livecodebench,static_7_4_8,9,0.95,3280,0.4610191637630661,0.4541506552044531,0.46788767232167916,t
qwen,math500,static_7_4_8,0,0.05,0,,,,t
qwen,math500,static_7_4_8,1,0.15000000000000002,2,,,,t
qwen,math500,static_7_4_8,2,0.25,214,0.20493991989319088,0.19127382332396156,0.2186060164624202,t
qwen,math500,static_7_4_8,3,0.35000000000000003,1173,0.22859578614054316,0.222172482177234,0.2350190901038523,t
qwen,math500,static_7_4_8,4,0.45,2018,0.25541554580206705,0.2499776545936197,0.2608534370105144,t
qwen,math500,static_7_4_8,5,0.55,2277,0.2875964615095049,0.2818700779590478,0.29332284505996203,t
qwen,math500,static_7_4_8,6,0.6500000000000001,2131,0.3181604880337869,0.31131621803561577,0.325004758031958,t
qwen,math500,static_7_4_8,7,0.75,2006,0.33834211650761997,0.33074264591743613,0.3459415870978038,t
qwen,math500,static_7_4_8,8,0.8500000000000001,2444,0.37158054711246197,0.3640506526627943,0.37911044156212964,t
qwen,math500,static_7_4_8,9,0.95,4321,0.47032763579859155,0.4640430524936841,0.476612219103499,t
qwen,mtbench,static_7_4_8,0,0.05,1,,,,t
qwen,mtbench,static_7_4_8,1,0.15000000000000002,105,0.1428571428571428,0.1428571428571428,0.1428571428571428,t
qwen,mtbench,static_7_4_8,2,0.25,400,0.1639285714285714,0.15650134555274628,0.1713557973043965,t
qwen,mtbench,static_7_4_8,3,0.35000000000000003,792,0.23015873015873012,0.22046921244762735,0.2398482478698329,t
qwen,mtbench,static_7_4_8,4,0.45,1205,0.2864256075874333,0.27738655590899153,0.29546465926587506,t
qwen,mtbench,static_7_4_8,5,0.55,1467,0.33021715843801724,0.3208194923327885,0.339614824543246,t
qwen,mtbench,static_7_4_8,6,0.6500000000000001,1614,0.3725438130642591,0.3626374544131586,0.3824501717153596,t
qwen,mtbench,static_7_4_8,7,0.75,1592,0.4219310839913855,0.4105393176443939,0.43332285033837714,t
qwen,mtbench,static_7_4_8,8,0.8500000000000001,2352,0.48675898931000966,0.47628747804836497,0.49723050057165435,t
qwen,mtbench,static_7_4_8,9,0.95,8586,0.6770822934344946,0.6705001199082244,0.6836644669607647,t
llama,livecodebench,static_6_10_60,0,0.05,0,,,,t
llama,livecodebench,static_6_10_60,1,0.15000000000000002,241,0.18188105117565698,0.17444245076954282,0.18931965158177114,t
llama,livecodebench,static_6_10_60,2,0.25,434,0.23617511520737325,0.22362180330181766,0.24872842711292883,t
llama,livecodebench,static_6_10_60,3,0.35000000000000003,267,0.3358302122347066,0.31035486445118393,0.3613055600182293,t
llama,livecodebench,static_6_10_60,4,0.45,212,0.440251572327044,0.4054823831645179,0.47502076148957006,t
llama,livecodebench,static_6_10_60,5,0.55,220,0.46893939393939404,0.4332416382554371,0.5046371496233509,t
llama,livecodebench,static_6_10_60,6,0.6500000000000001,267,0.5118601747815229,0.4770248858642974,0.5466954636987483,t
llama,livecodebench,static_6_10_60,7,0.75,291,0.5,0.4675644706024401,0.5324355293975599,t
llama,livecodebench,static_6_10_60,8,0.8500000000000001,672,0.7323908730158731,0.7065734026368307,0.7582083433949156,t
llama,livecodebench,static_6_10_60,9,0.95,601,0.9559068219633944,0.934304577778996,0.9775090661477928,t
llama,math500,static_6_10_60,0,0.05,0,,,,t
llama,math500,static_6_10_60,1,0.15000000000000002,6,0.27777777777777773,0.16888888888888884,0.3866666666666666,t
llama,math500,static_6_10_60,2,0.25,85,0.296078431372549,0.25359646861108237,0.3385603941340157,t
llama,math500,static_6_10_60,3,0.35000000000000003,154,0.4383116883116883,0.3957542128304246,0.480869163792952,t
llama,math500,static_6_10_60,4,0.45,173,0.5905587668593448,0.5450728271967774,0.6360447065219123,t
llama,math500,static_6_10_60,5,0.55,217,0.6620583717357912,0.6181759412282476,0.7059408022433348,t
llama,math500,static_6_10_60,6,0.6500000000000001,203,0.6666666666666667,0.6212106507440296,0.7121226825893039,t
llama,math500,static_6_10_60,7,0.75,251,0.7065073041168658,0.6685849599739319,0.7444296482597997,t
llama,math500,static_6_10_60,8,0.8500000000000001,865,0.7427745664739884,0.7236385396733083,0.7619105932746686,t
llama,math500,static_6_10_60,9,0.95,848,0.9033018867924528,0.8826218234371929,0.9239819501477128,t
llama,mtbench,static_6_10_60,0,0.05,0,,,,t
llama,mtbench,static_6_10_60,1,0.15000000000000002,1,,,,t
llama,mtbench,static_6_10_60,2,0.25,45,0.3851851851851852,0.30692401617471965,0.4634463541956507,t
llama,mtbench,static_6_10_60,3,0.35000000000000003,166,0.5813253012048193,0.5327565164747744,0.6298940859348642,t
llama,mtbench,static_6_10_60,4,0.45,237,0.6371308016877637,0.5953136568743943,0.6789479465011331,t
llama,mtbench,static_6_10_60,5,0.55,263,0.7452471482889734,0.7066184297424534,0.7838758668354935,t
llama,mtbench,static_6_10_60,6,0.6500000000000001,267,0.8358302122347065,0.7989360113872765,0.8727244130821366,t
llama,mtbench,static_6_10_60,7,0.75,287,0.8414634146341463,0.8075376007028437,0.8753892285654489,t
llama,mtbench,static_6_10_60,8,0.8500000000000001,453,0.8642384105960265,0.8362561539294849,0.892220667262568,t
llama,mtbench,static_6_10_60,9,0.95,753,0.9845064187693668,0.9658574604665398,1.003155377072194,t
qwen,livecodebench,static_6_10_60,0,0.05,0,,,,t
qwen,livecodebench,static_6_10_60,1,0.15000000000000002,0,,,,t
qwen,livecodebench,static_6_10_60,2,0.25,153,0.30392156862745096,0.2769758983686654,0.33086723888623654,t
